,Drug Regimen,Tumor Volume (mm3)
0,Capomulin,45.0
1,Capomulin,45.65133131
2,Capomulin,43.2708519
3,Capomulin,43.78489343
4,Capomulin,42.731552
5,Capomulin,43.26214483
6,Capomulin,40.60533486
7,Capomulin,37.96764437
8,Capomulin,38.3797259
9,Capomulin,38.98287774
10,Ketapril,45.0
11,Ketapril,45.0
12,Ketapril,48.79166496
13,Ketapril,53.43598668
14,Ketapril,58.13554485
15,Ketapril,62.70603145
16,Ketapril,64.66362579
17,Ketapril,69.16051982
18,Ketapril,71.90511721
19,Ketapril,45.0
20,Ketapril,47.462891
21,Ketapril,49.78341894
22,Ketapril,45.0
23,Ketapril,45.76924864
24,Ketapril,46.65839527
25,Ketapril,48.37099912
26,Ketapril,49.76241475
27,Ketapril,51.82835706
28,Ketapril,56.09899820000001
29,Ketapril,57.72953466
30,Ketapril,62.17570465
31,Ketapril,45.0
32,Ketapril,49.47041702
33,Ketapril,51.36886216
34,Ketapril,56.18432701
35,Ketapril,57.93591218
36,Ketapril,59.5488537
37,Ketapril,63.59960954
38,Ketapril,67.2112701
39,Ketapril,71.15083468
40,Ketapril,74.10408567
41,Ketapril,45.0
42,Ketapril,49.04870704
43,Ketapril,51.58216168
44,Ketapril,53.6755415
45,Ketapril,56.53020447
46,Ketapril,62.10895956
47,Ketapril,67.10453665
48,Ketapril,67.87377675
49,Ketapril,74.10609077
50,Ketapril,75.2949359
51,Ketapril,45.0
52,Ketapril,45.82488099
53,Ketapril,48.79194986
54,Ketapril,51.73870623
55,Ketapril,52.59920611
56,Ketapril,56.85546498
57,Ketapril,59.63256052
58,Ketapril,60.35629432
59,Ketapril,66.22960554
60,Ketapril,45.0
61,Ketapril,47.86444
62,Ketapril,51.23660557
63,Naftisol,45.0
64,Naftisol,46.39575966
65,Naftisol,48.18537323
66,Naftisol,49.10697473
67,Naftisol,52.07951009
68,Naftisol,45.0
69,Naftisol,46.12935706
70,Naftisol,45.0
71,Naftisol,47.40989731
72,Naftisol,48.03643202
73,Naftisol,51.37886229
74,Naftisol,55.65445572
75,Naftisol,57.04366929
76,Naftisol,61.19038663
77,Naftisol,65.70576275
78,Naftisol,69.96961645
79,Naftisol,73.05136339
80,Ketapril,45.0
81,Ketapril,46.79983867
82,Ketapril,48.08180678
83,Ketapril,50.19615224
84,Ketapril,50.72958174
85,Ketapril,54.43756172
86,Ketapril,58.58267634
87,Ketapril,59.60355821
88,Ketapril,60.91417627
89,Ketapril,62.90944062
90,Naftisol,45.0
91,Naftisol,46.07823375
92,Naftisol,50.26069441
93,Naftisol,51.97376864
94,Naftisol,52.55606575
95,Naftisol,53.72610129999999
96,Naftisol,45.0
97,Naftisol,46.88982098
98,Naftisol,48.199452
99,Naftisol,50.01507902
100,Naftisol,45.0
101,Naftisol,49.33299873
102,Naftisol,52.65608148
103,Naftisol,54.71300452
104,Naftisol,57.89877823
105,Naftisol,63.14565213
106,Naftisol,65.84101274
107,Naftisol,69.17624607
108,Naftisol,70.31490411
109,Naftisol,73.86784476
110,Naftisol,45.0
111,Naftisol,47.15601071
112,Naftisol,48.96591797
113,Naftisol,50.54520646
114,Naftisol,51.29654266
115,Naftisol,45.0
116,Naftisol,47.06774448
117,Naftisol,48.78655957
118,Naftisol,51.07452073
119,Naftisol,51.90275292
120,Naftisol,52.93685812
121,Naftisol,54.68821536
122,Naftisol,59.21700015
123,Naftisol,60.18611531
124,Naftisol,62.67075904
125,Naftisol,45.0
126,Naftisol,46.43121629
127,Naftisol,47.20125097
128,Naftisol,48.47797895
129,Naftisol,49.25330863
130,Naftisol,53.97085924
131,Naftisol,55.03901985
132,Naftisol,57.12241926
133,Naftisol,59.83050667
134,Naftisol,63.58639514
135,Naftisol,45.0
136,Naftisol,45.91837165
137,Naftisol,47.01356652
138,Naftisol,49.04022529
139,Naftisol,50.73476811
140,Naftisol,54.23450181
141,Naftisol,56.653215
142,Naftisol,61.46260354
143,Naftisol,62.98667798
144,Naftisol,63.94664044
145,Naftisol,45.0
146,Naftisol,45.0
147,Naftisol,48.73631881
148,Naftisol,50.82391154
149,Naftisol,54.24456268
150,Naftisol,59.61515479999999
151,Naftisol,65.00882889
152,Naftisol,66.59954515
153,Naftisol,69.12570173
154,Naftisol,73.69349382
155,Naftisol,76.66881742
156,Naftisol,45.0
157,Naftisol,46.62130127
158,Naftisol,47.50333803
159,Naftisol,48.6652074
160,Naftisol,52.63688249
161,Naftisol,54.08243662
162,Naftisol,45.0
163,Naftisol,46.11181797
164,Naftisol,47.53946216
165,Naftisol,50.66605391
166,Naftisol,55.73137535
167,Naftisol,57.69185918
168,Naftisol,59.33377202
169,Naftisol,61.89315267
170,Naftisol,65.46607444
171,Naftisol,45.0
172,Naftisol,45.69670864
173,Naftisol,49.79091948
174,Naftisol,51.22756565
